"N1+にに応じて
N1+に応じて+N2"	"Tùy theo.../
Tương ứng với..."	Tuỳ theo N phía trước mà chủ thể làm gì đó cho phù hợp, tương ứng với N.	"1. 言語レベル応じて、クラス分けを行う。
2. 収入に応じて一人一人が払う税額は変化する。"
N +に応えて/に応える	"Đáp lại...
(mong đợi, yêu cầu...)"	"Mẫu câu diễn đạt một hành động, sự việc được tiến hành dựa theo nguyện vọng, mong ước, yêu cầu... của ai đó.
Những danh từ thường gặp là: 期待、要望、声、希望、リクエスト
Xuất hiện trong câu có thể thành dạng:「に応え」"	"1. 消費者の要望に応えて、缶詰が空けやすいデザインになった。
2.ファンのアンコールに応えて、その歌手は 2 曲多く歌った。"
N1 に N2 は / が + 欠かせない	Không thể thiếu...	"Mẫu câu dùng để nhấn mạnh một điều nào đó là vô cùng cần thiết, không thể thiếu được.
Ngoài cách nói 「〜欠かせない」, còn có cách diễn đạt「欠かすことができない」"	"1.留学するには、家族などの周囲の理解が欠かせない。
2. 自分の体に合った机といすは、勉強に欠かすことができない。"
"N1 +にかけては
N1 +にかけて+の N2"	Riêng về mặt/ lĩnh vực...	"N đứng trước thường là 1 mặt/ lĩnh vực nào đó thuộc sở trường của người được nói tới.
Vế sau thể hiện năng lực, tự tin."	"1.料理の腕前にかけては自信があります。
2.父は車に関わることにかけては誰よりも詳しい。"
"Vる /Vた
Aい
A(bỏな) /A(bỏな)である         +     うえ(に)
Nの /N である"	"Hơn nữa.../
Thêm vào đó..."	"Liệt kê 2 tính chất giống nhau ( プラス・プラス、マイナス・マイナス)
Vế sau: không dùng những mẫu câu ra lệnh, cấm chỉ, nhờ vả, rủ rê..."	"1.今回のテストは簡単であるうえに、量も少なかった。
2.あの人は嘘をつくうえに約束を守らない人だ。"
N + 上	"Xét về mặt N.../
Từ N mà nói thì..."	"Dùng để đưa ra nhận định, đánh giá, nhận xét khi nói từ 1 quan điểm, phương diện nào đó.
Mẫu câu mang tính văn viết."	"1.歴史上、仏教は日本文化に大きな影響を与えた。
2.教育上、子どもの前では夫婦喧嘩を見せないほうがいい。"
Vる / Nの+ 上で	"Khi.../
Trong trường hợp..."	Vế sau đưa ra những điều cần thiết, quan trọng cho trường hợp, hoàn cảnh được nêu ra ở vế trước.	"1. 結婚する上ではお金が必要です。
2. 映画を撮影する上で大変なのは、スケジュー管理りだ。"
Vた / Nの+ 上で	Sau khi V/ N thì mới...	Đưa ra hành động, sự việc được tiến hành trên cơ sở sau khi hoàn thành/ thực hiện xong hành động ở vế trước.	"1. 父は失敗を覚悟の上で、新たに会社を立ち上げることにした。
2. 写真ではわからないので、実際に商品を見た上で買うか考える。"
Vた + ところ	Sau khi...	"Sau khi làm ~, thì phát hiện/ hiểu ra 1 sự thật - kết quả - thông tin mới nào đó.
Vế sau luôn chia ở quá khứ, không đi với những câu thể hiện hành động có ý chí người nói trong đó."	"1. 頭が 痛かったので、病院で 検査したところ、異常が見つかった。
2. 日本人に聞いたところ、私の発音は間違っていたようだ。"
V(bỏます) +かねる・かねない	Khó có thể./Có thể...	"V かねる: thường dùng trong công việc, khi trình bày lí do khó có thể thực hiện được điều gì đó.
V かねない : khả năng, nguy cơ xảy ra điều gì đó không tốt"	"1. 不況が続くと、会社が倒産しかねません。
2. 運転しながら電話をすると、事故を起こしかねません。"
V(bỏます) + 次第	Ngay sau khi V	"Ngay sau khi ...thì sẽ làm gì đó luôn.
Cách nói cứng thường dùng trong thông báo, tin tức.
Không dùng cho hiện tiện tượng nhiên hoặc thể quá khứ."	"1. 準備が整い次第、すぐに作業に移る。
2. 連絡があり次第、出発をいたします。"
N + 次第	Tuỳ vào N mà...	"Dùng để đưa ra 1 sự việc sẽ xảy ra hoặc thay đổi, điều chỉnh như thế nào là tuỳ thuộc/ phụ thuộc vào danh từ đứng trước「 次第」
「N + 次第」được coi như 1 cụm Danh từ,"	"1. 自分の行動次第で、自分の未来は変えることができる。
2. SNS は使い方次第で、人を傷つける道具にもなる。"
V(普) + 次第だ	..., thế nên là....	"Đứng ở cuối câu, dùng để giải thích 1 lý do hay hoàn cảnh nào đó,
Đây là cách nói hơi trang trọng,"	"A:今年も子ども食堂へのご支援、ありがとうございます。
B:こちらこそ、地域の皆さまのために、援助を続けている次第です。"
"Vる Vない
V(普)かどうか
A(bỏい) A(bỏい)くない          +        に関わらず
A(bỏな) A(bỏな)じゃない
N"	Bất kể...	"Bất kể vế trước thế nào thì vế sau vẫn diễn ra.
Có thể nói thành: に関わりなく"	"1. 田舎のバスは距離に関わらず、金額は一律だ。
2. 値段に関わらず、品質のよい素材のみを使って料理を作る。"
N + を問わず	Bất kể N	"Bất kể là thế nào, thì (vế sau) vẫn...
Thường đi với những cụm danh từ mang nghĩa đối ngược nhau.
Cách dùng và ý nghĩa tương đối giống に関わらず"	"1. そのハンバーガーショップは昼夜を問わずいつでも開いている。
2.インターネットがあれば場所を問わずに、仕事ができる。"
N + によらず	"Không dựa vào N/
Bất kể là N"	"Diễn tả hành động, sự việc nào đó sẽ vẫn được hình thành, bất kể nội dung hay trường hợp ở vế trước là gì.
Mang tính quán dụng, có ý nghĩa là "khác với..."."	"1. 何事によらず、暴力はダメだ!
2. 選挙には、性別や経験した職業によらず出ることができる。"
V(bỏます) + つつ	Vừa... vừa...	"Diễn tả 2 hành động xảy ra song song, đồng thời với nhau. V1 là hành động phụ, V2 là hành động chính.
Nét nghĩa giống với ながら"	外の景色を眺めつつ、家の中で本を読む。
V(bỏます) + つつ(も)	Mặc dù... nhưng vẫn...	"Đưa ra sự việc trái ngược với suy nghĩ, sự thật ở vế trước.
Chứa cảm xúc hối hận, tiếc nuối về những điều đã làm.
Đi với những động từ 「思う」「知る」「気づく」「感じる」「言う」...."	彼のことが好きじゃないと言いつつ、ひそかに彼を見ることが止められない。
"V(bỏます) /A い 
A(bỏな) /A(bỏな)であり + ながら ( も )
N/N であり "	Mặc dù... nhưng...	Vế sau thường là khác so với tưởng tượng/ thực tế.	彼は「僕に任せて」と言いながら、仕事では全く役に立たなかった。
