天井	てんじょう	trần nhà, (giá) trần	1	1
井戸	いど	giếng nước	1	2
丼	どんぶり	bát tô	1	3
親子丼	おやこどん	món cơm gà và trứng trong bát tô	1	4
囲む	かこむ	bao quanh, vây quanh	1	5
周囲	しゅうい	chu vi xung quanh	1	6
範囲	はんい	phạm vi	1	7
雰囲気	ふんいき	bầu không khí	1	8
冗談	じょうだん	chuyện đùa, lời nói đùa	1	9
処置	しょち	xử lý, biện pháp xử lý	1	10
処分	しょぶん	xử phạt, vứt bỏ	1	11
対処	たいしょ	đối phó, xử trí	1	12
机	つくえ	cái bàn	1	13
司会	しかい	dẫn chương trình, MC	1	14
上司	じょうし	cấp trên, sếp	1	15
伺う	うかがう	đến thăm, hỏi thăm	1	16
台詞	せりふ	lời thoại	1	17
歌詞	かし	lời bài hát	1	18
動詞	どうし	động từ	1	19
詰める	つめる	nhét vào, lấp, dồn	1	20
見詰める	みつめる	nhìn chằm chằm	1	21
詰め込む	つめこむ	nhồi nhét, nhét đầy	1	22
缶詰	かんづめ	đồ hộp, thực phẩm đóng hộp, bị "nhốt" trong không gian kín	1	23
評論	ひょうろん	bình luận, phê bình mang tính phân tích	1	24
批評	ひひょう	phê bình, nhận xét, đánh giá	1	25
誤り	あやまり	lỗi sai, nhầm lẫn	1	26
誤解	ごかい	hiểu lầm, hiểu sai	1	27
布団	ふとん	nệm, chăn đệm kiểu Nhật	1	28
座布団	ざぶとん	đệm ngồi kiểu Nhật	1	29
商談	しょうだん	Bàn bạc, đàm phán	1	30
団体	だんたい	đoàn thể, tổ chức	1	31
応援団	おうえんだん	đội cổ vũ	1	32
検討	けんとう	cân nhắc, xem xét	1	33
詩人	しじん	nhà thơ, thi nhân	1	34
訪ねる	たずねる	ghé thăm, đến thăm	1	35
訪れる	おとずれる	đến thăm	1	36
訪問	ほうもん	việc thăm hỏi, chuyến thăm	1	37
脂肪	しぼう	mỡ, chất béo	1	38
寝坊	ねぼう	ngủ quên	1	39
坊っちゃん	ぼっちゃん	con trai (người khác), cậu ấm	1	40
双子	ふたご	cặp song sinh, sinh đôi	1	41
収める	おさめる	giành được, cất gọn	1	42
収入	しゅうにゅう	thu nhập	1	43
年収	ねんしゅう	thu nhập hằng năm	1	44
吸収	きゅうしゅう	hấp thụ, tiếp thu	1	45
収集	しゅうしゅう	thu thập, gom lại	1	46
収穫	しゅうかく	thu hoạch, gặt hái	1	47
伴う	ともなう	đồng hành, kéo theo, đi kèm	1	48
俳優	はいゆう	diễn viên	1	49
保険	ほけん	bảo hiểm	1	50
保険料	ほけんりょう	phí bảo hiểm	1	51
保護者	ほごしゃ	người bảo hộ, người giám	1	52
保守的	ほしゅてき	mang tính bảo thủ	1	53
保証	ほしょう	bảo hành, bảo đảm	1	54
仏	ほとけ	Phật, Đức Phật	1	55
仏教	ぶっきょう	Phật giáo	1	56
偉い	えらい	vĩ đại, giỏi	1	57
偶然	ぐぜん	ngẫu nhiên, tình cờ	1	58
貨物	かもつ	hàng hóa, hàng chuyên chở	1	59
通貨	つうか	tiền tệ	1	60
硬貨	こうか	tiền xu	1	61
賃貸	ちんたい	cho thuê	1	62
家賃	やちん	tiền thuê nhà	1	63
運賃	うんちん	cước phí vận chuyển	1	64
乗車賃	じょうしゃちん	tiền vé xe, phí đi xe	1	65
貿易	ぼうえき	giao dịch, trao đổi, thương mại	1	66
貧しい	まずしい	nghèo, túng thiếu	1	67
貧乏	びんぼう	sự nghèo khổ	1	68
貧困	ひんこん	nghèo khó, túng thiếu	1	69
貴重	きちょう	quý giá, quý báu	1	70
貴重品	きちょうひん	đồ quý, vật có giá trị	1	71
記者	きしゃ	quý công ty	1	72
賞金	しょうきん	tiền thưởng	1	73
金賞	きんしょう	giải vàng	1	74
受賞	じゅしょう	nhận thưởng, được trao giải	1	75
文学賞	ぶんがくしょう	giải thưởng văn học	1	76
鑑賞	かんしょう	thưởng thức, cảm thụ nghệ thuật	1	77
賞味期限	しょうみきげん	hạn sử dụng	1	78
損	そん	lỗ, tổn thất, thiệt	1	79
損得	そんとく	lỗ lãi, thiệt hơn	1	80
損失	そんしつ	tổn thất	1	81
損害	そんがい	thiệt hại, hư hại	1	82
捨てる	すてる	vứt, bỏ	1	83
使い捨て	つかいすて	dùng xong bỏ	1	84
切り捨てる	きりすてる	cắt bỏ, bỏ qua, (số) làm tròn xuống	1	85
投げ捨てる	なげすてる	ném bỏ, quăng bỏ	1	86
拾う	ひろう	nhặt, lượm	1	87
拍手	はくしゅ	vỗ tay, tràng pháo tay	1	88
担う	になう	gánh vác, đảm nhận	1	89
担ぐ	かつぐ	vác, khiêng	1	90
担任	たんにん	giáo viên chủ nhiệm	1	91
負担	ふたん	gánh nặng, chịu trách nhiệm	1	92
取る	とる	chụp ảnh, quay phim	1	93
撮影	さつえい	việc chụp ảnh, quay phim	1	94
技	わざ	kỹ thuật, kỹ năng	1	95
特技	とくぎ	kỹ năng đặc biệt	1	96
演技	えんぎ	diễn xuất, biểu diễn	1	97
競技	きょうぎ	cuộc thi đấu, trận đấu	1	98
抜く	ぬく	nhổ, rút, vượt qua	1	99
抜ける	ぬける	(tóc, răng) rụng, xì (hơi), thiếu sót	1	100
追い抜く	おいぬく	vượt qua, vượt mặt	1	101
扱う	あつかう	xử lý, đối xử, sử dụng	1	102
取り扱う	とりつかう	thao tác, xử lý, đối đãi	1	103
拒む	こばむ	từ chối, khước từ	1	104
拒否	きょひ	sự từ chối, bác bỏ	1	105
捕る	とる	bắt, bắt giữ	1	106
捕まる	つかまる	bị bắt, bị tóm	1	107
捕まえ	つかまえる	bắt, tóm	1	108
逮捕	たいほ	bắt giữ, bắt giam	1	109
換える	かえる	thay, đổi	1	110
言い換える	いいかえる	nói cách khác, diễn đạt lại	1	111
歓喜	かんき	thông gió, lưu thông không khí	1	112
交換	こうかん	trao đổi, đổi chác	1	113
転換	てんかん	chuyển đổi	1	114
変換	へんかん	biến đổi, đổi	1	115
抵抗	ていこう	kháng cự, đề kháng	1	116
抗体	こうたい	kháng thể	1	117
反抗	はんこう	phản kháng, chống đối	1	118
対抗	たいこう	đối kháng, ganh đua	1	119
拝見する	はいけんする	xem, nhìn	1	120
拡充	かくじゅう	mở rộng, tăng cường về nội dung	1	121
拡大	かくだい	phóng to, bành trướng	1	122
拡張	かくちょう	mở rộng, bành trướng	1	123
声援	せいえん	lời cổ vũ, tiếng hò reo động viên	1	124
応援	おうえん	cổ vũ, ủng hộ, hỗ trợ	1	125
支援	しえん	chi viện, hỗ trợ	1	126
援助	えんじょ	viện trợ, giúp đỡ	1	127
採る	とる	thu thập, hái, tuyển chọn	1	128
採集	さいしゅう	thu thập, sưu tầm	1	129
採用	さいよう	tuyển dụng, tiếp nhận	1	130
色彩	しきさい	màu sắc, sắc thái	1	131
多彩	たさい	đa dạng, nhiều màu sắc,	1	132
将来	しょうらい	tương lai	1	133
将棋	しょうぎ	cờ Shougi	1	134
