初歩	しょほ	cơ bản, cơ sở (khóa học, học hành,...) = 基礎 - きそ
初期	しょき	thời kì đầu (thời gian)
最寄り	もより	gần nhất (địa điểm)
確保	かくほ	đảm bảo (an toàn, học tập,...)
引退	いんたい	giải nghệ, rút lui (dành cho cầu thủ, nghệ sĩ,...)
注目 = 感心		chú ý, quan tâm (tới việc)
用途	ようと	công dụng (của đồ vật)
本来	ほんらい	vốn dĩ (ban đầu)
敏感	びんかん	mẫn cảm (với thông tin, dị ứng)
保存	ほぞん	lưu, bảo quản (file, đồ ăn)
油断	ゆだん	cẩu thả, lơ đểnh, mất cảnh giác (với ng 2 mặt, xem thường đối thủ)
分担	ぶんたん	phân chia (công việc)
役目	やくめ	vai trò (không rõ ràng, vai trò chung chung, bổn phận của người mẹ, sếp)
役割	やくわり	vai trò (cụ thể, công việc rõ ràng, ai làm cái gì)
同感	同感	đồng tình (với việc nào đó)
同情	どうじょう	đồng cảm (cảm xúc)
転勤	てんきん	chuyển công tác
栽培	さいばい	trồng (cây, thực vật)
思わぬ	おもわぬ	không ngờ tới (ぬ = ない)
素材	そざい	nguyên vật liệu (hương vật liệu vốn có, thực phẩm)
充満	じゅうまん	tràn đầy (khói, mùi,...)
信頼	しんらい	tin cậy (chỉ cảm tính)
信用	しんよう	tin cậy (có cơ sở tin tưởng, tín dụng ngân hàng)
尊重	そんちょう	tôn trọng (ý kiến, công việc, thứ có giá trị)
尊敬	そんけい	tôn kính (với người trên)
欠陥	けっかん	lỗi, thiếu sót (của sản phẩm)
評価	ひょうか	đánh giá (が高い、が低い、をつける)
評判	ひょうばん	đánh giá (が良い、が悪い)
非難	ひなん	chỉ trích (con người, xã hội)
批評		ひひょう nhà phê bình (批評家)
増大	ぞうだい	tăng lên (với quy mô rất lớn, tăng về cảm giác)
増加	ぞうか	tăng (quy mô ít hay nhiều đều được, có thể đếm được)
上昇	じょうしょう	tăng lên (giá, khí, nhiệt độ, máy bay)
上達	じょうたつ	tiến bộ (chỉ trong học tập)
進歩	しんぽ	tiến bộ (trong nhiều mục đích chung, khoa học, xã hội,...)
進捗	しんちょく	tiến độ công việc
削除	さくじょ	xóa (file, dữ liệu)
整備	せいび	bảo dưỡng (phương tiện di chuyển lớn)
点検	てんけん	kiểm tra (phạm vi rộng, xe, thang máy, tòa nhà,...)
視線	しせん	ánh nhìn (を浴びる thu hút ánh nhìn)
才能	さいのう	tài năng (才能が豊かだ)
効用	こうよう	hiệu dụng (công dụng thuốc)
効力	こうりょく	hiệu lực (dùng trong hợp đồng, giấy phép,...)
改造	かいぞう	cải tạo, tân trang (nhà, xe)
転換	てんかん	chuyển đổi (気分転換 - chuyển đổi tâm trạng, 方向転換 - chuyển làn xe)
展開	てんかい	diễn biến (phim ảnh, manga,...), triển khai, mở rộng (thị trường)
見た目	みため	vẻ ngoài (thường dùng cho đồ ăn)
格好	かっこう	vẻ ngoài (cách ăn mặc)
容姿	ようし	vẻ ngoài, phong thái (cách ăn mặc bên ngoài, có thể dùng với đồ vật, nhấn mạnh về khuôn mặt thường dùng cho nữ)
様子	ようす	bộ dạng (phạm vi rộng, có thể dùng cho trạng thái con người, thời tiết)
姿	すがた	bóng người (có bóng người, nói về sự tồn tại của 1 ng, diện mạo bên ngoài)
普及	ふきゅう	phổ cập (1 sản phẩm, dịch vụ phổ biến)
でこぼこ		lồi lõm (đường)
にこにこ		cười mỉm (=にこり đọc nghe như にっこり)
くっきり		cực kì rõ
ざっと		(làm 1 việc) lướt nhanh, xem sơ qua
取材	しゅざい	phỏng vấn (phóng viên lấy tin)
範囲	はんい	phạm vi (phạm vi rộng)
