天井	てんじょう	trần nhà; (mức giá) trần	THIÊN TỈNH	1	1
丼	どんぶり	bát lớn, cái tô	ĐẢM	1	2
〜丼	どん	bát cơm với thức ăn phủ lên trên	ĐẢM	1	3
周囲	しゅうい	xung quanh; những người xung quanh	CHU VI	1	4
範囲	はんい	phạm vi	PHẠM VI	1	5
雰囲気	ふんいき	bầu không khí, không gian; ấn tượng tổng thể, khí chất	PHÂN VI KHÍ	1	6
冗談	じょうだん	đùa, chuyện đùa	NHŨNG ĐÀM	1	7
台詞	せりふ	lời thoại (trong kịch, phim,...), lời nói, câu nói	ĐÀI TỪ	1	8
歌詞	かし	lời bài hát	CA TỪ	1	9
誤り	あやまり	lỗi sai, sự nhầm lẫn, sai sót	NGỘ	1	10
座布団	ざぶとん	đệm ngồi kiểu Nhật	TỌA BỐ ĐOÀN	1	11
集団	しゅうだん	nhóm, tập thể	TẬP ĐOÀN	1	12
団体	だんたい	đoàn thể, tổ chức, nhóm	ĐOÀN THỂ	1	13
脂肪	しぼう	mỡ, chất béo	CHI PHƯƠNG	1	14
収入	しゅうにゅう	thu nhập	THU NHẬP	1	15
人材	じんざい	nhân lực, nhân tài	NHÂN TÀI	1	16
天才	てんさい	thiên tài	THIÊN TÀI	1	17
オリンピック		Olympic		1	18
開会式	かいかいしき	lễ khai mạc	KHAI HỘI THỨC	1	19
収穫量	しゅうかくりょう	sản lượng thu hoạch	THU HOẠCH LƯỢNG	1	20
状況	じょうきょう	tình trạng, hoàn cảnh, tình hình	TRẠNG HUỐNG	1	21
アンコール		biểu diễn thêm, hát thêm	encore	1	22
睡眠	すいみん	ngủ, giấc ngủ	THỤY MIÊN	1	23
腕前	うでまえ	tay nghề	OẢN TIỀN	1	24
要望	ようぼう	nguyện vọng, yêu cầu	YẾU VỌNG	1	25
リクエスト		yêu cầu, đề nghị	request	1	26
件	けん	vụ việc, trường hợp/ đơn vị đếm (vụ việc, email, sự kiện,...)	KIỆN	1	27
世間	せけん	xã hội, thiên hạ	THẾ GIAN	1	28
欲	よく	mong muốn, ham muốn	DỤC	1	29
賛否	さんぴ	ý kiến tán thành và phản đối	TÁN PHỦ	1	30
弱点	じゃくてん	điểm yếu, nhược điểm	NHƯỢC ĐIỂM	1	31
恥	はじ	sự xấu hổ	SỈ	1	32
強火	つよび	lửa mạnh, lửa to (khi nấu ăn)	CƯỜNG HỎA	1	33
現象	げんしょう	hiện tượng	HIỆN TƯỢNG	1	34
行事	ぎょうじ	sự kiện, hoạt động	HÀNH SỰ	1	35
好調	こうちょう	thuận lợi, (tiến triển) tốt	HẢO ĐIỀU	1	36
快い	こころよい	thoải mái, vui vẻ, sẵn lòng	KHOÁI	1	37
適切	てきせつ	thích hợp, phù hợp	THÍCH THIẾT	1	38
柔軟	じゅうなん	mềm dẻo, linh hoạt	NHU NHUYỄN	1	39
比較的	ひかくてき	tương đối, khá	BỈ GIÁC ĐÍCH	1	40
圧倒的	あっとうてき	áp đảo, vượt trội	ÁP ĐẢO ĐÍCH	1	41
和やか	なごやか	hòa nhã, nhẹ nhàng, ôn hòa	HÒA	1	42
異なる	ことなる	khác nhau	DỊ	1	43
保つ	たもつ	giữ, duy trì	BẢO	1	44
散る	ちる	rơi, tàn; phân tán	TÁN	1	45
重ねる	かさねる	chồng lên, chất lên; lặp lại nhiều lần	TRỌNG	1	46
務める	つとめる	đảm nhiệm, giữ vai trò	VỤ	1	47
任せる	まかせる	giao phó	NHÂM	1	48
積もる	つもる	chất đống, chồng chất	TÍCH	1	49
縮める	ちぢめる	rút ngắn, làm ngắn lại, làm co lại	SÚC	1	50
混じる	まじる	bị trộn lẫn, bị pha lẫn, lẫn vào	HỖN	1	51
迎える	むかえる	đón, chào đón; bước sang, đến (thời điểm, giai đoạn)	NGHÊNH	1	52
養う	やしなう	nuôi dưỡng; bồi dưỡng (kỹ năng, tinh thần)	DƯỠNG	1	53
争う	あらそう	tranh giành, tranh cãi, đấu tranh	TRANH	1	54
伺う	うかがう	hỏi (khiêm nhường của 聞く), đến thăm, ghé thăm (khiêm nhường của 行く、訪ねる)	TÝ	1	55
見つめる	みつめる	nhìn chằm chằm, nhìn chăm chú	KIẾN	1	56
詰め込む	つめこむ	nhất đầy vào, nhồi nhét	CẬT NHẬP	1	57
訪れる	おとずれる	đến thăm, ghé thăm; đến, tới (thời điểm, mùa, cảm xúc,...)	PHÓNG	1	58
収める	おさめる	cất giữ, cho vào (tủ, hộp); thu được, giành được	THU	1	59
処置	しょち	xử lý, biện pháp xử lý	XỨ TRÍ	1	60
処分	しょぶん	xử lý, vứt bỏ; xử phạt	XỨ PHÂN	1	61
対処	たいしょ	đối phó, xử lý	ĐỐI XỨ	1	62
誤解	ごかい	hiểu lầm, hiểu sai	NGỘ GIẢI	1	63
検討	けんとう	xem xét, cân nhắc	KIỂM THẢO	1	64
吸収	きゅうしゅう	hút, hấp thụ; tiếp thu	HẤP THU	1	65
収集	しゅうしゅう	thu thập, tập hợp; sưu tầm	THU TẬP	1	66
収穫	しゅうかく	thu hoạch, gặt hái	THU HOẠCH	1	67
予算	よさん	ngân sách, dự toán	DỰ TOÁN	1	68
依頼	いらい	yêu cầu, nhờ vả	Ỷ LẠI	1	69
渋滞	じゅうたい	tắc đường	SÁP TRỆ	1	70
対応	たいおう	ứng phó, xử lý	ĐỐI ỨNG	1	71
変化	へんか	thay đổi	BIẾN HÓA	1	72
発売	はつばい	bán ra, phát hành	PHÁT MẠI	1	73
受講	じゅこう	tham gia khóa học, tham dự lớp học	THỤ GIẢNG	1	74
計算	けいさん	tính toán, phép tính	KẾ TOÁN	1	75
記録	きろく	kỷ lục; ghi chép	KÝ LỤC	1	76
研修	けんしゅう	đào tạo, huấn luyện (ngắn hạn)	NGHIÊN TU	1	77
下降	かこう	giảm xuống, hạ xuống	HẠ HÀNG	1	78
違反	いはん	vi phạm	VI PHẢN	1	79
企画	きかく	kế hoạch	XÍ HỌA	1	80
処理	しょり	xử lý, giải quyết	XỨ LÝ	1	81
密閉	みっぺい	bịt kín, đóng kín	MẬT BẾ	1	82
求人	きゅうじん	tuyển dụng	CẦU NHÂN	1	83
願望	がんぼう	nguyện vọng, mong muốn	NGUYỆN VỌNG	1	84
完結	かんけつ	kết thúc, hoàn tất	HOÀN KẾT	1	85
油断	ゆだん	lơ là, chủ quan	DU ĐOẠN	1	86
評論	ひょうろん	bình luận, nhận xét, phê bình	BÌNH LUẬN	1	87
批評	ひひょう	phê bình, nhận xét, bình phẩm	PHÊ BÌNH	1	88
〜団	〜だん	hậu tố chỉ đoàn thể có tổ chức	ĐOÀN	1	89
保険	ほけん	bảo hiểm	BẢO HIỂM	1	90
仏教	ぶっきょう	Phật giáo	PHẬT GIÁO	1	91
硬貨	こうか	tiền xu	NGẠNH HÓA	1	92
運賃	うんちん	cước phí vận chuyển	VẬN NHẪM	1	93
貴重品	きちょうひん	đồ quý, đồ có giá trị	QUÝ TRỌNG PHẨM	1	94
賞金	しょうきん	tiền thưởng	THƯỞNG KIM	1	95
損	そん	lỗ, thiệt	TỔN	1	96
